代码	名称	涨幅%%	总金额	现价	昨收	每手	总量	涨速%%	今开	最高	最低	抛空额	股息率%%	振幅%%	涨跌	活跃度	买价	按盘价	总资产(万)	
00548	深圳高速公路股份	-1.59	18836514	7.430	7.550	2000	2530939	0.13	7.500	7.500	7.360	--  	0.00	1.85	-0.120	    496	7.400	7.430	3178979.50	
00551	裕元集团	1.57	76135304	29.100	28.650	500	2612626	0.00	28.950	29.450	28.950	--  	0.00	1.75	0.450	    895	29.050	29.100	725680.69	
00552	中国通信服务	-0.37	47856540	5.420	5.440	2000	8858209	0.18	5.440	5.480	5.360	--  	0.00	2.21	-0.020	    689	5.410	5.420	6128123.50	
00553	南京熊猫电子股份	-0.84	3378120	7.080	7.140	2000	476000	0.00	7.130	7.140	7.070	--  	0.00	0.98	-0.060	     32	7.070	7.080	514506.81	
00563	上实城市开发	-1.47	5308121	2.010	2.040	2000	2640000	1.01	2.030	2.040	1.990	--  	0.00	2.45	-0.030	    296	2.000	2.010	6264715.00	
00564	郑煤机	-0.39	3551128	5.090	5.110	200	696200	-0.20	5.090	5.220	5.060	--  	0.00	3.13	-0.020	    176	5.050	5.090	1200181.38	
00566	汉能薄膜发电	0.00	0	3.910	3.910	2000	0	0.00	3.910	3.910	3.910	--  	0.00	0.00	0.000	      1	--  	3.910	1396804.75	
00568	山东墨龙	-2.08	3937688	2.350	2.400	400	1686800	0.43	2.400	2.400	2.310	--  	0.00	3.75	-0.050	    122	2.340	2.350	630416.44	
00570	中国中药	-1.02	20147658	3.900	3.940	2000	5163433	0.00	3.970	3.970	3.870	--  	1.64	2.54	-0.040	    506	3.890	3.900	1914580.75	
00576	浙江沪杭甬	-1.58	22640292	9.330	9.480	2000	2430000	0.43	9.460	9.470	9.230	--  	0.00	2.53	-0.150	    422	9.300	9.330	7079769.50	
00579	京能清洁能源	-1.23	16196055	2.400	2.430	2000	6741965	0.00	2.420	2.420	2.390	--  	0.00	1.23	-0.030	    259	2.400	2.400	4811763.00	
00586	海螺创业	-0.40	33748744	15.120	15.180	500	2233179	0.27	15.120	15.220	15.080	--  	0.00	0.92	-0.060	    397	15.100	15.120	1928411.88	
00588	北京北辰实业股份	0.34	19603900	2.960	2.950	2000	6714000	0.68	2.960	2.970	2.860	--  	0.00	3.73	0.010	    489	2.950	2.960	6029748.50	
00590	六福集团	-1.07	16808172	23.050	23.300	1000	730460	0.44	22.950	23.200	22.800	--  	2.39	1.72	-0.250	    211	23.000	23.050	1039041.88	
00598	中国外运	-1.12	40249864	3.540	3.580	1000	11376757	0.28	3.580	3.610	3.510	--  	1.16	2.79	-0.040	   1348	3.530	3.540	3775324.00	
00604	深圳控股	-2.62	41195936	3.340	3.430	2000	12246287	-0.30	3.410	3.420	3.340	--  	2.10	2.33	-0.090	    454	3.340	3.340	10285814.00	
00606	中国粮油控股	-1.25	21501654	3.950	4.000	1000	5436800	0.00	4.000	4.000	3.920	--  	0.00	2.00	-0.050	    917	3.950	3.950	7746466.00	
00607	丰盛控股	0.00	171891456	2.980	2.980	2500	57721500	-0.33	2.970	3.010	2.950	--  	0.00	2.01	0.000	    744	2.980	2.980	1201070.25	
00636	嘉里物流	0.00	7975055	10.420	10.420	500	768610	0.00	10.360	10.460	10.320	--  	0.67	1.34	0.000	    278	10.360	10.420	3105735.25	
00639	首钢资源	-5.11	21927506	1.670	1.760	2000	12933530	0.00	1.770	1.780	1.650	--  	8.98	7.39	-0.090	    584	1.640	1.670	2010629.75	
00656	复星国际	-1.64	108775368	12.020	12.220	500	9053959	0.33	12.120	12.220	11.940	--  	0.00	2.29	-0.200	    910	12.020	12.020	43771440.00	
00658	中国高速传动	-1.32	42162992	9.000	9.120	1000	4673360	0.45	9.140	9.150	8.950	--  	0.00	2.19	-0.120	    595	8.960	9.000	2731510.00	
00659	新创建集团	-1.53	19668058	14.160	14.380	1000	1386432	-0.28	14.420	14.420	14.060	--  	2.40	2.50	-0.220	    757	14.160	14.160	7804310.00	
00665	海通国际	-1.93	53417128	4.580	4.670	1000	11657831	-0.22	4.640	4.640	4.540	--  	1.64	2.14	-0.090	    866	4.580	4.580	10961300.00	
