代码	名称	涨幅%%	总金额	买价	卖价	总量	现量	涨速%%	换手%%	量比	今开	
08123	华亿金控	4.29	21954	--  	--  	312000	48000	0.00	          0.00	  0.34	0.070	
08070	侨洋国际控股	-1.82	21600	--  	--  	40000	40000	0.00	          0.02	  0.19	0.540	
08249	瑞远智控	-2.78	21040	--  	--  	100000	10000	0.00	          0.08	  1.11	0.211	
08432	太平洋酒吧	-1.84	20800	--  	--  	130000	80000	0.00	          0.02	  0.08	0.160	
08239	首都金融控股	0.00	19502	--  	--  	200000	200000	0.00	          0.02	  0.65	0.096	
08309	万成环球控股	1.43	17750	--  	--  	50000	50000	0.00	          0.01	  0.02	0.355	
08236	宝德科技集团	-4.61	17550	--  	--  	6000	1000	0.00	          0.01	  0.20	2.930	
08282	智傲控股	-3.64	16280	--  	--  	16000	4000	0.00	          0.01	  0.08	1.010	
08162	港银控股	0.00	14600	--  	--  	30000	20000	0.00	          0.01	  0.07	0.465	
08428	国茂控股	-2.06	14280	--  	--  	60000	60000	0.00	          0.01	  0.01	0.238	
08052	陆庆娱乐	0.00	13430	--  	--  	170000	170000	0.00	          0.01	  0.04	0.079	
08049	吉林长龙药业	0.00	12560	--  	--  	8000	8000	0.00	          0.00	  0.08	1.570	
08161	医汇集团	-2.20	10820	--  	--  	120000	20000	8.54	          0.01	  0.07	0.091	
08163	万德金融	-2.27	10360	--  	--  	120000	40000	-1.15	          0.01	  0.08	0.087	
08425	兴铭控股	0.00	10320	--  	--  	8000	8000	0.00	          0.00	  0.01	1.290	
08197	北斗嘉药业	-18.29	10300	--  	--  	30000	20000	0.00	          0.01	  0.14	0.360	
08365	建泉国际控股	-5.56	10000	--  	--  	20000	20000	2.00	          0.00	  0.07	0.500	
08481	盛龙锦秀国际	-1.08	9200	--  	--  	20000	20000	0.00	          0.00	  0.05	0.460	
08165	华普智通	0.00	7950	--  	--  	240000	10000	0.00	          0.01	  0.02	0.034	
08035	骏高控股	-3.61	4800	--  	--  	20000	20000	0.00	          0.00	  0.12	0.240	
08326	同景新能源	-1.90	3810	--  	--  	4000	1000	-0.96	          0.00	  0.02	1.050	
08155	南华资产控股	-3.92	3728	--  	--  	80000	16000	6.52	          0.00	  0.22	0.046	
08116	中国幸福投资	-4.00	2512	--  	--  	36000	20000	0.00	          0.00	  0.10	0.072	
08066	品创控股	8.11	2280	--  	--  	15000	5000	8.11	          0.00	  0.22	0.148	
08086	新维国际控股	0.00	2120	--  	--  	8000	8000	0.00	          0.00	  0.00	0.265	
08243	大贺传媒	0.00	1850	--  	--  	5000	5000	0.00	          0.00	  0.12	0.370	
08222	壹照明	0.00	1552	--  	--  	8000	8000	0.00	          0.00	  0.02	0.194	
08319	思博系统	1.44	1400	--  	--  	10000	10000	0.71	          0.00	  0.02	0.140	
08113	扬宇科技	0.00	112	--  	--  	172	172	0.00	          0.00	  0.00	--  	
08060	国联通信	0.00	67	--  	--  	560	560	0.00	          0.00	  0.01	--  	
08079	易还财务投资	0.00	1	--  	--  	2	2	0.00	          0.00	  0.00	--  	
08008	新意网集团	--  	0	--  	--  	0	0	--  	--  	  0.00	--  	
08595	御德国际控股股权	--  	0	--  	--  	0	0	--  	--  	  0.00	--  	
08593	西安海天天四千	--  	0	--  	--  	0	0	--  	--  	--  	--  	
08592	罗马集团股权	--  	0	--  	--  	0	0	--  	--  	  0.00	--  	
08591	罗马集团（旧）	--  	0	--  	--  	0	0	--  	--  	  0.00	--  	
08590	L&A INTL-OLD	--  	0	--  	--  	0	0	--  	--  	  0.00	--  	
08452	富银融资股份	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	
08442	桦欣控股	-1.62	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	
08439	新百利融资	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	
08412	高门集团	-1.75	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	
08405	恒智控股	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	
08370	智升集团控股	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	
08369	立基工程控股	--  	0	--  	--  	0	0	--  	--  	  0.00	--  	
08353	安科系统	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	
08345	火岩控股	-1.51	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	
08343	宏光照明	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	
08341	艾硕控股	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	
08320	沛然环保	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	
08317	财华社集团	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	
08316	柏荣集团控股	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	
08311	圆美光电	0.00	0	--  	--  	0	0	0.00	          0.00	  0.00	--  	
