代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	
002394	联发股份	0.91	60791908	0.11	12.18	12.19	49264	166	0.08	          1.52	12.55	
600363	联创光电	0.96	60640680	0.11	11.60	11.61	52265	55	0.43	          1.18	11.50	
600655	豫园股份	0.40	60569456	0.04	10.05	10.06	60420	50	0.00	          0.42	10.05	
601038	一拖股份	1.54	60441536	0.11	7.23	7.24	83839	189	-0.13	          1.41	7.09	
002881	美格智能	1.36	60337176	0.39	29.04	29.05	20929	385	0.10	          7.85	28.55	
603617	君禾股份	0.81	60067524	0.18	22.28	22.30	26895	14	0.81	         10.76	21.92	
601339	百隆东方	1.26	59558780	0.07	5.63	5.64	103533	1	-0.17	          0.69	5.83	
601949	中国出版	1.05	59421252	0.07	6.74	6.75	88330	1	0.15	          2.42	6.67	
300357	我武生物	0.31	59196648	0.18	57.85	57.86	10407	182	0.17	          0.74	57.17	
600313	农发种业	1.19	59159516	0.04	3.40	3.41	177391	5	0.59	          1.79	3.33	
600826	兰生股份	2.21	58816024	0.29	13.38	13.39	44379	30	0.15	          1.06	13.05	
600137	浪莎股份	3.00	58768600	0.67	22.95	22.99	25775	26	0.22	          2.65	22.02	
600061	国投资本	0.08	58593540	0.01	12.30	12.31	47455	140	0.08	          0.13	12.31	
600278	东方创业	3.66	57964568	0.39	11.03	11.05	53243	200	0.09	          1.02	10.60	
600978	宜华生活	0.60	57588976	0.05	8.42	8.43	68294	40	0.12	          0.46	8.44	
000548	湖南投资	3.13	57568052	0.20	6.58	6.59	88659	2951	0.15	          1.78	6.37	
