date	Price
1453	4.71
1452	4.71
1451	4.71
1450	4.71
1449	4.71
1448	4.71
1447	4.71
1446	4.70
1445	4.71
1444	4.71
1443	4.71
1442	4.71
1441	4.70
1440	4.71
1439	4.71
1438	4.71
1437	4.70
1436	4.71
1435	4.71
1434	4.71
1433	4.71
1432	4.71
1431	4.71
1430	4.71
1429	4.70
1428	4.71
1427	4.71
1426	4.71
1425	4.71
1424	4.70
1423	4.71
1422	4.71
1421	4.70
1420	4.71
1419	4.70
1418	4.71
1417	4.71
1416	4.70
1415	4.71
1414	4.70
1413	4.70
1412	4.71
1411	4.70
1410	4.70
1409	4.71
1408	4.71
