代码	名称	涨幅%%	总金额	现价	买价	卖价	总量	现量	涨速%%	换手%%	今开	
002555	三七互娱	0.19	378805376	20.79	20.79	20.80	182798	883	0.10	          1.57	20.60	
002279	久其软件	10.04	377158144	13.04	13.04	--  	301926	1977	0.00	         11.02	11.85	
002320	海峡股份	10.01	375481536	27.03	27.03	--  	142056	72	0.00	          6.86	24.05	
002376	新北洋	3.49	374749600	15.44	15.44	15.45	249142	5543	0.26	          4.34	14.74	
000792	盐湖股份	-0.54	374475680	12.88	12.87	12.88	290724	3195	0.00	          1.06	12.80	
300684	中石科技	3.00	374429472	50.51	50.51	50.52	76110	1212	0.16	         35.04	47.04	
600760	中航沈飞	1.20	373038176	29.60	29.60	29.61	126160	28	0.24	          3.66	28.92	
002454	松芝股份	10.02	372684864	13.18	13.18	--  	285076	1502	0.00	          6.93	13.01	
300072	三聚环保	0.54	372148224	33.79	33.79	33.80	110846	1628	-0.14	          0.81	33.30	
300244	迪安诊断	9.99	371956576	22.02	22.02	--  	175683	412	0.00	          5.13	19.90	
601233	桐昆股份	-1.76	371803584	25.14	25.13	25.14	147815	56	0.20	          1.23	25.00	
600380	健康元	2.77	371757632	12.25	12.26	12.27	306759	9	0.08	          1.96	11.88	
601229	上海银行	-0.20	371692000	15.22	15.21	15.22	244328	8	0.07	          0.66	15.13	
600497	驰宏锌锗	-1.41	371673504	6.97	6.97	6.98	533942	854	-0.13	          1.24	6.95	
000717	韶钢松山	0.89	371060288	7.91	7.90	7.91	470977	6274	0.13	          1.95	7.71	
600801	华新水泥	2.05	370361792	13.92	13.93	13.94	267388	10	-0.06	          2.75	13.55	
002310	东方园林	0.88	369595808	19.47	19.46	19.47	189918	1263	-0.14	          1.17	19.11	
000886	海南高速	7.91	365669376	6.41	6.40	6.41	578507	4586	-0.30	          5.99	5.92	
600260	凯乐科技	1.28	364734528	32.54	32.57	32.59	112642	42	0.09	          2.09	31.80	
000525	红 太 阳	4.95	360786560	24.40	24.40	24.41	149096	1644	-0.03	          2.94	23.29	
000066	中国长城	6.11	358021344	6.95	6.94	6.95	525663	7680	-0.13	          2.11	6.51	
600198	大唐电信	4.29	357585344	8.76	8.76	8.77	418165	25	-1.01	          4.81	8.50	
600579	天华院	-1.10	357177600	11.69	11.71	11.72	318076	24	0.34	          7.75	11.00	
603108	润达医疗	9.48	356953344	14.21	14.20	14.22	256398	310	-0.41	         11.56	13.17	
