代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	
002026	山东威达	9.96	198235552	0.73	8.06	--  	245950	816	0.00	          6.78	8.06	
002510	天汽模	3.37	198137168	0.19	5.81	5.82	343280	4861	0.00	          4.81	5.61	
601002	晋亿实业	1.17	196916160	0.10	8.64	8.65	226429	74	0.23	          2.86	8.57	
002458	益生股份	1.43	196684608	0.21	14.89	14.90	131209	2643	-0.19	          7.51	14.79	
01628	禹洲地产	2.26	196025104	0.120	5.420	5.440	35921000	5134000	-1.45	          0.86	5.300	
600053	九鼎投资	10.00	195669792	2.24	24.63	--  	80716	1	0.00	          1.86	22.57	
300100	双林股份	10.01	195337280	1.54	16.92	--  	120136	1031	0.00	          3.11	15.46	
600202	哈空调	3.20	195289520	0.27	8.72	8.73	227644	2	-0.67	          5.94	8.44	
002631	德尔未来	4.59	193773648	0.46	10.47	10.48	189587	3588	0.19	          2.94	9.95	
002203	海亮股份	3.57	192808464	0.32	9.27	9.28	210403	7011	0.00	          1.42	8.96	
300685	艾德生物	6.49	190339392	6.60	108.29	108.30	17658	149	0.13	          8.83	102.08	
600415	小商品城	3.33	189851264	0.18	5.59	5.60	338746	31	-0.17	          0.62	5.44	
600062	华润双鹤	2.21	189745536	0.52	24.04	24.05	79490	5	-0.03	          1.16	23.50	
600209	罗顿发展	0.40	189276912	0.04	10.01	10.03	186306	15	-0.19	          4.37	9.98	
000507	珠海港	1.38	189144096	0.13	9.54	9.55	197666	2712	0.00	          2.56	9.46	
601919	中远海控	1.59	189069632	0.10	6.40	6.41	295326	42	-0.15	          0.39	6.30	
600210	紫江企业	3.14	188248448	0.15	4.93	4.94	381614	10	-0.19	          2.52	4.78	
600072	中船科技	1.91	187061888	0.24	12.84	12.85	146283	134	0.31	          2.43	12.50	
02799	中国华融	0.81	184776880	0.030	3.720	3.730	49591456	25748000	0.27	          0.20	3.740	
600037	歌华有线	0.98	184618608	0.13	13.38	13.39	137994	27	-0.21	          1.18	13.24	
300601	康泰生物	2.69	184147312	1.41	53.90	53.91	34106	154	-0.18	          2.13	52.48	
01313	华润水泥控股	2.39	183826080	0.160	6.840	6.850	27084100	4184000	0.74	          0.41	6.720	
002018	华信国际	1.14	183375312	0.06	5.34	5.35	342151	4057	-0.18	          1.50	5.24	
002547	春兴精工	0.00	183312032	0.00	9.20	9.21	198705	3274	0.00	          2.48	9.21	
601117	中国化学	1.40	182361088	0.10	7.24	7.25	252460	20	0.14	          0.51	7.13	
002313	日海通讯	4.06	182179600	1.15	29.50	29.54	61984	344	0.34	          1.99	28.38	
300479	神思电子	3.46	181238912	0.67	20.01	20.02	89149	893	-0.04	         10.13	19.65	
002266	浙富控股	5.32	181018336	0.21	4.15	4.16	438010	8725	0.24	          2.72	3.95	
603225	新凤鸣	2.21	180032880	0.84	38.77	38.78	46583	7	0.03	          6.03	37.94	
002488	金固股份	3.65	179201264	0.52	14.74	14.75	122043	1701	0.14	          3.17	14.28	
600825	新华传媒	9.96	178349280	0.56	6.18	--  	294017	21	0.00	          2.81	5.75	
300428	四通新材	9.99	176823936	1.72	18.94	--  	94424	184	0.00	          8.21	17.50	
002711	欧浦智网	0.39	176724608	0.04	10.19	10.20	173414	3546	-0.38	          1.66	10.17	
01638	佳兆业集团	8.49	176001904	0.360	4.600	4.610	38973704	1670000	0.22	          0.64	4.260	
000829	天音控股	4.20	174288304	0.40	9.93	9.94	175989	3396	-0.19	          1.85	9.47	
300723	一品红	4.05	173827168	1.43	36.77	36.78	47133	618	-0.04	         11.78	35.19	
300231	银信科技	0.10	173723904	0.01	9.57	9.58	178097	3156	-0.61	          6.67	9.60	
300365	恒华科技	0.82	173144144	0.32	39.10	39.11	43390	200	-0.22	          4.20	38.99	
01055	中国南方航空股份	0.40	173031808	0.040	10.080	10.160	17045370	3590000	0.79	          0.56	10.020	
000851	高鸿股份	3.81	172765728	0.31	8.44	8.45	203964	2622	-0.11	          3.45	8.18	
600136	当代明诚	2.88	172443936	0.47	16.76	16.77	102995	4	0.24	          3.35	16.30	
600191	华资实业	5.13	172409824	0.40	8.18	8.19	210736	373	0.49	          4.35	7.84	
03799	达利食品	0.27	171323264	0.020	7.530	7.540	22712816	7150500	-0.13	          0.17	7.640	
002697	红旗连锁	1.54	170451184	0.09	5.92	5.93	285804	1741	-0.49	          3.31	5.91	
600611	大众交通	3.46	169423712	0.17	5.08	5.09	334279	30	0.40	          2.14	4.93	
000800	一汽轿车	1.19	169257072	0.13	11.05	11.06	153498	3059	0.00	          1.09	10.94	
00012	恒基地产	0.77	168860448	0.400	52.400	52.450	3218517	987000	-0.10	          0.08	51.800	
002054	德美化工	1.71	168825200	0.13	7.72	7.73	217455	3742	0.26	          6.91	7.57	
600865	百大集团	10.03	168503664	0.74	8.12	--  	211460	30	0.00	          5.62	7.43	
002821	凯莱英	0.45	167737520	0.30	66.89	66.90	24986	238	0.00	          2.09	67.07	
000909	数源科技	10.04	165894384	1.00	10.96	--  	152717	364	0.00	          4.91	9.94	
300733	西菱动力	1.15	165719936	0.27	23.70	23.71	68781	974	0.04	         17.20	23.24	
600827	百联股份	2.68	165184736	0.31	11.87	11.88	138847	1	-0.07	          0.90	11.74	
600406	国电南瑞	0.48	164965168	0.08	16.70	16.72	97993	60	-0.05	          0.44	16.60	
002901	大博医疗	4.06	164756512	1.34	34.32	34.33	47700	430	0.03	         11.90	33.12	
300002	神州泰岳	0.42	163298864	0.03	7.10	7.11	231123	4865	-0.27	          1.67	7.07	
002013	中航机电	1.90	161666448	0.20	10.74	10.75	149343	1345	0.00	          0.71	10.64	
