代码	名称	涨幅%%	总金额	市盈(动)	AB股总市值	换手%%	细分行业	现量	涨速%%	卖价	今开	最高	最低	昨收	涨跌	现价	量比	总量	地区	
600808	马钢股份	-0.43	564276416	     9.82	        278.10亿	          2.00	普钢	588	0.00	4.67	4.75	4.85	4.61	4.68	-0.02	4.66	  0.79	1192882	安徽	
000938	紫光股份	-4.52	563778048	    44.91	        674.37亿	          4.19	软件服务	1827	-0.04	64.71	67.59	67.59	64.59	67.76	-3.06	64.70	  0.96	86286	北京	
603160	汇顶科技	-5.24	561117632	    46.76	        475.47亿	          2.31	元器件	4	0.07	104.60	111.00	111.00	103.78	110.46	-5.79	104.67	  1.07	53032	深圳	
002670	国盛金控	-1.69	559943488	    73.79	        331.31亿	          5.02	证券	4583	-0.04	22.12	22.15	23.50	21.95	22.50	-0.38	22.12	  1.03	247100	广东	
000513	丽珠集团	4.57	559114496	     6.35	        236.43亿	          2.49	中成药	524	0.00	64.96	62.12	65.99	62.12	62.12	2.84	64.96	  1.65	86761	广东	
600702	沱牌舍得	5.48	555060928	   117.86	        150.03亿	          3.73	白酒	66	0.34	44.50	42.70	45.20	42.00	42.17	2.31	44.48	  2.10	125898	四川	
601688	华泰证券	-0.05	554946816	    21.96	       1047.37亿	          0.53	证券	97	0.37	19.23	19.18	19.30	19.03	19.25	-0.01	19.24	  0.70	289530	江苏	
600837	海通证券	-0.70	547789376	    19.93	       1149.08亿	          0.48	证券	2100	0.78	14.21	14.22	14.32	13.98	14.30	-0.10	14.20	  1.59	387315	上海	
600584	长电科技	-0.73	546795392	   135.03	        297.40亿	          2.55	半导体	19	-0.17	21.94	22.00	22.18	21.36	22.03	-0.16	21.87	  0.70	251010	江苏	
600282	南钢股份	-0.92	546634304	     8.66	        236.32亿	          2.59	普钢	71	-0.18	5.37	5.47	5.55	5.34	5.41	-0.05	5.36	  0.64	1004552	江苏	
601211	国泰君安	-1.04	546392832	    18.55	       1500.97亿	          0.58	证券	1501	0.25	19.98	20.01	20.10	19.75	20.18	-0.21	19.97	  1.32	273976	上海	
600782	新钢股份	-4.13	543472896	    12.52	        229.59亿	          2.64	普钢	2	-0.27	7.21	7.52	7.68	7.18	7.51	-0.31	7.20	  0.75	735015	江西	
000703	恒逸石化	0.78	538127936	    16.45	        296.39亿	          1.99	化纤	2321	-0.05	17.98	17.82	18.58	17.68	17.84	0.14	17.98	  1.09	293597	广西	
600291	西水股份	1.88	536466208	     8.39	        278.08亿	          2.16	保险	36	0.24	25.46	24.70	25.78	24.68	24.97	0.47	25.44	  1.19	211262	内蒙	
002079	苏州固锝	-0.31	533116032	    66.60	         71.12亿	          7.63	半导体	13527	0.83	9.77	9.70	9.78	9.45	9.80	-0.03	9.77	  0.95	553684	江苏	
600330	天通股份	-1.40	525151520	    46.73	         93.68亿	          5.60	元器件	33	0.00	11.28	11.30	11.74	11.18	11.44	-0.16	11.28	  1.33	459198	浙江	
300134	大富科技	-1.07	522241344	--  	        128.25亿	          4.36	通信设备	5321	-0.64	16.72	16.58	17.38	16.24	16.89	-0.18	16.71	  0.90	310842	深圳	
601288	农业银行	0.00	521297792	     5.69	      10997.67亿	          0.05	银行	157	0.00	3.74	3.73	3.75	3.71	3.74	0.00	3.74	  0.55	1396799	北京	
002194	武汉凡谷	3.39	518210912	--  	         77.59亿	          7.18	通信设备	4847	-0.35	13.75	13.00	14.21	12.85	13.29	0.45	13.74	  1.68	380920	湖北	
002911	佛燃股份	-9.95	517714944	    38.26	        141.45亿	         35.02	供气供热	1531	-0.03	25.44	26.90	27.91	25.43	28.25	-2.81	25.44	  1.04	196094	广东	
600392	盛和资源	-1.65	517048768	    42.30	        224.80亿	          3.24	小金属	29	-0.11	16.66	16.78	17.40	16.61	16.93	-0.28	16.65	  0.73	304490	山西	
601111	中国国航	3.02	516991488	    14.82	       1121.74亿	          0.55	空运	95	0.63	11.29	10.77	11.30	10.64	10.93	0.33	11.26	  1.02	465694	北京	
600549	厦门钨业	-0.83	516071104	    34.97	        273.94亿	          2.28	小金属	14	-0.15	25.23	25.31	25.96	25.20	25.42	-0.21	25.21	  0.83	202178	福建	
600406	国电南瑞	-0.79	513920544	    40.05	        459.56亿	          1.23	软件服务	810	0.16	18.90	19.07	19.29	18.70	19.07	-0.15	18.92	  1.17	271498	江苏	
000968	蓝焰控股	2.49	510766880	    39.64	        167.57亿	         10.92	煤炭开采	2068	0.23	17.33	17.65	18.59	17.13	16.90	0.42	17.32	  2.92	283514	山西	
002142	宁波银行	-0.23	508272768	     9.07	        891.26亿	          0.64	银行	2595	0.17	17.59	17.62	17.94	17.35	17.62	-0.04	17.58	  1.11	288877	浙江	
601919	中远海控	6.12	503452768	    18.93	        516.17亿	          0.98	水运	114	0.45	6.77	6.44	6.97	6.38	6.37	0.39	6.76	  3.40	747300	天津	
603809	豪能股份	-7.50	500951936	    28.22	         42.34亿	         45.16	汽车配件	52	0.40	39.80	47.20	47.20	39.47	42.91	-3.22	39.69	501.79	120431	四川	
