代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	
300652	雷迪克	3.00	28869390	0.72	24.72	24.73	11752	106	0.00	          5.34	24.38	24.80	
002014	永新股份	2.85	28850518	0.32	11.55	11.56	25277	463	-0.08	          0.78	11.24	11.57	
300643	万通智控	2.83	28758588	0.31	11.27	11.28	25702	566	-0.26	          5.14	10.84	11.50	
300293	蓝英装备	2.40	28060108	0.24	10.22	10.23	27403	512	0.39	          1.02	9.91	10.74	
002700	新疆浩源	5.45	26972128	0.50	9.68	9.69	28681	1077	-0.30	          0.92	9.15	9.77	
600248	延长化建	3.52	26765558	0.18	5.30	5.31	50200	10	0.00	          0.83	5.15	5.51	
002693	双成药业	7.20	25910476	0.37	5.50	5.51	48681	1894	0.36	          1.21	5.11	5.52	
002162	悦心健康	3.17	25879094	0.14	4.56	4.57	57254	1594	0.22	          0.67	4.45	4.62	
603041	美思德	4.40	25509358	0.84	19.89	19.91	12999	5	0.10	          5.20	19.10	19.95	
600081	东风科技	2.27	25200640	0.28	12.59	12.60	20152	10	0.00	          0.64	12.27	12.60	
300576	容大感光	3.18	24272780	0.48	15.58	15.59	15727	285	0.32	          3.94	15.06	15.62	
002793	东音股份	2.05	23910688	0.31	15.45	15.46	15467	388	-0.12	          2.40	15.13	15.80	
300669	沪宁股份	3.05	23879424	0.62	20.98	20.99	11473	184	0.00	          5.45	20.49	21.00	
000524	岭南控股	4.37	23299846	0.44	10.50	10.51	22628	360	-0.09	          0.84	10.06	10.66	
300472	新元科技	7.37	22738700	1.71	24.90	24.91	9281	234	0.12	          2.79	22.90	25.22	
000421	南京公用	2.25	21128820	0.12	5.46	5.47	38979	935	0.18	          0.99	5.35	5.49	
600483	福能股份	1.14	21002528	0.08	7.10	7.11	29557	6	-0.13	          0.23	7.02	7.18	
300354	东华测试	1.83	20908176	0.20	11.12	11.13	18675	296	0.09	          2.57	11.04	11.43	
300557	理工光科	3.46	20823162	1.13	33.79	33.80	6266	513	0.57	          1.86	32.66	33.79	
300563	神宇股份	4.30	20469790	1.03	24.99	25.00	8142	151	0.00	          2.54	24.00	26.36	
002395	双象股份	4.93	20374516	0.53	11.28	11.29	18264	148	0.09	          1.02	10.76	11.49	
603855	华荣股份	1.63	19689772	0.17	10.55	10.58	18871	10	0.67	          2.28	10.39	10.60	
300559	佳发安泰	2.47	18728508	1.04	43.11	43.14	4356	34	0.09	          0.92	42.23	43.30	
002150	通润装备	4.01	18165742	0.33	8.55	8.56	21706	2185	0.71	          0.79	8.19	8.68	
300703	创源文化	2.21	17744166	0.58	26.79	26.80	6683	122	-0.06	          3.34	26.30	26.89	
603601	再升科技	1.47	17436340	0.19	13.14	13.15	13216	23	0.08	          0.34	12.96	13.44	
002274	华昌化工	1.73	16818826	0.12	7.05	7.06	24126	470	0.28	          0.49	6.89	7.05	
002890	弘宇股份	2.23	15254396	0.62	28.47	28.48	5420	44	0.14	          3.25	27.86	28.58	
002835	同为股份	1.80	14071089	0.17	9.61	9.62	14662	101	0.42	          2.02	9.41	9.66	
300647	超频三	2.02	12530539	0.32	16.15	16.16	7791	229	0.12	          2.60	15.77	16.25	
600644	乐山电力	0.68	12453531	0.04	5.89	5.90	21157	33	-0.16	          0.39	5.82	5.96	
002598	山东章鼓	2.31	10865736	0.19	8.39	8.40	12969	161	0.00	          0.49	8.18	8.45	
000803	*ST金宇	4.00	8433913	0.82	21.28	21.30	3963	3	0.24	          0.31	21.44	21.44	
数据来源:通达信
