代码	名称	涨幅%%	总金额	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	
600057	象屿股份	0.12	55746640	0.01	8.55	8.56	64799	2	-0.22	          0.45	8.58	
300607	拓斯达	4.07	55704980	2.58	65.89	65.90	8579	162	0.02	          2.63	63.02	
300291	华录百纳	2.33	55656812	0.27	11.85	11.86	47860	6136	1.28	          0.80	11.58	
000532	华金资本	6.99	55520372	0.69	10.56	10.57	52993	486	0.09	          1.54	9.92	
002515	金字火腿	1.82	55185812	0.14	7.83	7.84	70724	685	0.00	          1.15	7.82	
603877	太平鸟	0.33	54885852	0.10	30.18	30.19	18364	1	0.03	          0.92	29.97	
600082	海泰发展	4.10	54416104	0.22	5.58	5.59	95837	1	-0.35	          1.52	5.42	
300689	澄天伟业	3.98	54060348	1.38	36.05	36.06	15233	414	0.14	          8.96	34.51	
300710	万隆光电	4.99	53927284	1.67	35.12	35.13	15690	576	-0.08	          8.97	33.90	
002792	通宇通讯	1.35	53579676	0.37	27.71	27.72	19542	345	0.04	          2.76	27.26	
603668	天马科技	9.99	53522452	1.03	11.34	--  	47625	20	0.00	          2.56	10.72	
002831	裕同科技	2.29	52963328	1.30	58.00	58.02	9126	100	-0.08	          0.76	56.88	
002459	天业通联	1.60	52687788	0.20	12.73	12.74	41484	401	0.08	          1.07	12.58	
300720	海川智能	3.22	51229264	0.86	27.55	27.56	18861	229	-0.06	         10.48	26.47	
000713	丰乐种业	1.65	50878440	0.11	6.78	6.79	75338	2784	-0.14	          2.52	6.65	
000546	金圆股份	2.58	50612812	0.37	14.71	14.72	34695	290	0.00	          0.61	14.55	
000727	华东科技	0.85	50237244	0.02	2.36	2.37	212305	1255	0.42	          0.87	2.37	
002877	智能自控	4.50	50020948	0.86	19.99	20.00	25228	574	-0.29	          8.26	19.08	
